"id","invoice_id","invoices_custom_id","name","type","value","_weld_synced"
"c_campaigncode","261","261_c_campaigncode","Campaign Ref","text","""Novartis Kisqali ABS Conference""","2025-04-17T12:07:50.702Z"
"c_campaigncode","259","259_c_campaigncode","Campaign Ref","text","""Novartis Leqvio EAS & CPC""","2025-04-17T12:07:50.702Z"
"c_campaigncode","265","265_c_campaigncode","Campaign Ref","text","""OEB London SME Expo 25""","2025-04-17T12:07:50.704Z"
"c_campaigncode","275","275_c_campaigncode","Campaign Ref","text","""OEB Reset Connect @ Excel London 25""","2025-04-17T12:07:50.706Z"
"c_campaigncode","263","263_c_campaigncode","Campaign Ref","text","""OEB Toolkit 25""","2025-04-17T12:07:50.703Z"
"c_clientponumber","286","286_c_clientponumber","Client PO number","text","""PHBUK0377064""","2025-04-17T12:07:50.708Z"
"c_clientponumber","247","247_c_clientponumber","Client PO number","text","""PO 6500021468""","2025-04-17T12:07:50.700Z"
"c_campaigncode","247","247_c_campaigncode","Campaign Ref","text","""Pluvicto & Lutathera BNMS 2025""","2025-04-17T12:07:50.700Z"
"c_campaigncode","232","232_c_campaigncode","Campaign Ref","text","""Purchase Order Number PO-0001""","2025-04-17T12:07:50.885Z"
"c_clientponumber","232","232_c_clientponumber","Client PO number","text","""Purchase Order Number PO-0001""","2025-04-17T12:07:50.885Z"
"c_campaigncode","231","231_c_campaigncode","Campaign Ref","text","""Purchase Order Number PO-0002""","2025-04-17T12:07:50.884Z"
"c_clientponumber","231","231_c_clientponumber","Client PO number","text","""Purchase Order Number PO-0002""","2025-04-17T12:07:50.883Z"
"c_clientponumber","204","204_c_clientponumber","Client PO number","text","""S00014863""","2025-04-17T12:07:50.694Z"
"c_clientponumber","215","215_c_clientponumber","Client PO number","text","""S00015539""","2025-04-17T12:07:50.697Z"
"c_primarysystem","282","282_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.707Z"
"c_primarysystem","257","257_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.787Z"
"c_primarysystem","221","221_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.698Z"
"c_primarysystem","259","259_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.702Z"
"c_primarysystem","255","255_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.779Z"
"c_primarysystem","220","220_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.698Z"
"c_primarysystem","270","270_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.705Z"
"c_primarysystem","256","256_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.786Z"
"c_primarysystem","241","241_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.699Z"
"c_primarysystem","286","286_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.708Z"
"c_primarysystem","203","203_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.694Z"
"c_primarysystem","204","204_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.694Z"
"c_primarysystem","284","284_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.790Z"
"c_primarysystem","258","258_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.702Z"
"c_primarysystem","269","269_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.705Z"
"c_primarysystem","233","233_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.698Z"
"c_primarysystem","266","266_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.705Z"
"c_primarysystem","236","236_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.710Z"
"c_primarysystem","248","248_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.700Z"
"c_primarysystem","254","254_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.701Z"
"c_primarysystem","272","272_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.706Z"
"c_primarysystem","232","232_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.885Z"
"c_primarysystem","274","274_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.706Z"
"c_primarysystem","228","228_c_primarysystem","Primary System","dropdown","""Scoro Primary""","2025-04-17T12:07:50.709Z"
