"amount","comment","cost","custom_fields","dates","discount","doer_email","doer_id","finance_account_id","finance_account_name","finance_account_symbol","finance_object_id","finance_object_name","finance_object_symbol","id","is_confirmed","is_internal","price","product_code","product_id","product_name","project_id","project_name","quote_id","role_id","role_name","sum","supplier_id","supplier_name","unit","vat","vat_code","vat_code_id","_weld_synced"
"1.000000","ESP and RAMS","1328.3500",,"[]","0.000000","","0","0","","","61","Method and Risk","RISK","6004","1","0","1706.250000","SCORO_2110","2110","RAMS","269","UCL Hospitality Village 2025","643","0","","1706.25","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.502Z"
"2.000000","","1090.6900",,"[]","0.000000","","0","0","","","7","Client Services","CLI SER","6016","1","1","911.627000","SCORO_2181","2181","Client Services Manager","269","UCL Hospitality Village 2025","643","19","Client Services Manager","1823.25","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.309Z"
"1.000000","","396.6100",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6136","1","1","591.390000","SCORO_2192","2192","Project Executive","269","UCL Hospitality Village 2025","643","24","Project Executive","591.39","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"6.000000","","2442.9700",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6019","1","1","591.387000","SCORO_2192","2192","Project Executive","269","UCL Hospitality Village 2025","643","24","Project Executive","3548.32","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.309Z"
"3.000000","","1189.8300",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6122","1","1","591.389000","SCORO_2192","2192","Project Executive","269","UCL Hospitality Village 2025","643","24","Project Executive","1774.17","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.412Z"
"2.000000","","1343.4100",,"[]","0.000000","","0","0","","","5","Onsite Management","ONS MGT","6020","1","1","983.177000","SCORO_2200","2200","Technical Manager","269","UCL Hospitality Village 2025","643","39","Technical Manager","1966.35","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.309Z"
"0.000000","","0.0000",,"[]","0.000000","","0","0","","","9","Audio Visual","AV","6137","1","1","924.040000","SCORO_2205","2205","AV Technician","269","UCL Hospitality Village 2025","643","44","AV Technician","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.499Z"
"12.000000","","4140.0000",,"[]","0.000000","","0","0","","","10","Installation","INST","6124","1","1","475.000000","SCORO_2209","2209","Local Crew","269","UCL Hospitality Village 2025","643","0","","5700.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.412Z"
"2.000000","Telehandler (half days)","526.2800",,"[]","0.000000","","0","0","","","10","Installation","INST","6130","1","0","286.000000","SCORO_2210","2210","Plant Operator","269","UCL Hospitality Village 2025","643","0","","572.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.495Z"
"2.000000","forks","263.1400",,"[]","0.000000","","0","0","","","10","Installation","INST","6132","1","0","143.000000","SCORO_2210","2210","Plant Operator","269","UCL Hospitality Village 2025","643","0","","286.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.496Z"
"1.000000","Scissor lift","379.5300",,"[]","0.000000","","0","0","","","10","Installation","INST","6133","1","0","412.500000","SCORO_2210","2210","Plant Operator","269","UCL Hospitality Village 2025","643","0","","412.50","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.497Z"
"2.000000","Plant driver (Tele Only)","894.7200",,"[]","0.000000","","0","0","","","10","Installation","INST","6131","1","0","486.230000","SCORO_2210","2210","Plant Operator","269","UCL Hospitality Village 2025","643","0","","972.46","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.495Z"
"0.500000","","327.2000",,"[]","0.000000","","0","0","","","12","Creative Direction","CRE DIR","6005","1","1","1404.550000","SCORO_2214","2214","Creative Director","269","UCL Hospitality Village 2025","643","84","Creative Director","702.28","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.307Z"
"2.500000","","1636.0000",,"[]","0.000000","","0","0","","","12","Creative Direction","CRE DIR","6007","1","1","1404.550000","SCORO_2214","2214","Creative Director","269","UCL Hospitality Village 2025","643","84","Creative Director","3511.38","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.308Z"
"2.000000","","1017.8600",,"[]","0.000000","","0","0","","","13","Design","DES","6006","1","1","879.687000","SCORO_2216","2216","Middleweight 3D Designer","269","UCL Hospitality Village 2025","643","88","Middleweight 3D Designer","1759.37","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.308Z"
"1.000000","","508.9300",,"[]","0.000000","","0","0","","","13","Design","DES","6008","1","1","4709.620000","SCORO_2216","2216","Middleweight 3D Designer","269","UCL Hospitality Village 2025","643","88","Middleweight 3D Designer","4709.62","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.308Z"
"2.000000","","1017.8500",,"[]","0.000000","","0","0","","","13","Design","DES","6009","1","1","864.900000","SCORO_2217","2217","Middleweight 2D Designer","269","UCL Hospitality Village 2025","643","89","Middleweight 2D Designer","1729.80","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.308Z"
"0.000000","Catering Staff - Assume C/O Venue","0.0000",,"[]","0.000000","","0","0","","","26","Catering","CAT","6145","1","0","0.000000","SCORO_2270","2270","Catering","269","UCL Hospitality Village 2025","643","0","","0.00","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.500Z"
"2.000000","Holes in floor","368.9800",,"[]","0.000000","","0","0","","","68","Flooring","FLOO","6115","1","0","200.520000","SCORO_2278","2278","Flooring","269","UCL Hospitality Village 2025","643","0","","401.04","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.411Z"
"400.000000","Carpet - included","0.0000",,"[]","0.000000","","0","0","","","68","Flooring","FLOO","6030","1","1","0.000000","SCORO_2278","2278","Flooring","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.311Z"
"200.000000","Carpet Protection - Half total area","1300.0000",,"[]","0.000000","","0","0","","","68","Flooring","FLOO","6031","1","0","7.447900","SCORO_2278","2278","Flooring","269","UCL Hospitality Village 2025","643","0","","1489.58","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.311Z"
"3.000000","Halo Lighting","4111.5300",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6116","1","0","1760.418000","SCORO_2280","2280","Lighting","269","UCL Hospitality Village 2025","643","0","","5281.25","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.411Z"
"400.000000","Working Lights","844.0000",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6032","1","0","2.291670","SCORO_2280","2280","Lighting","269","UCL Hospitality Village 2025","643","0","","916.67","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.312Z"
"1.000000","Basic Lighting Package","8320.2700",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6035","1","0","9047.500000","SCORO_2280","2280","Lighting","269","UCL Hospitality Village 2025","643","0","","9047.50","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.312Z"
"1.000000","Lighting Rigging","4334.6300",,"[]","0.000000","","0","0","","","31","AV Services","AV SER","6034","1","0","4713.500000","SCORO_2280","2280","Lighting","269","UCL Hospitality Village 2025","643","0","","4713.50","0","","day","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.312Z"
"1.000000","Wireless Microphone","634.4400",,"[]","0.000000","","0","0","","","34","Collaborate Audio","COL AUD","6112","1","0","689.565000","SCORO_2289","2289","Sony Radio Mic Set","269","UCL Hospitality Village 2025","643","0","","689.57","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.410Z"
"1.000000","White lining 6m - included","0.0000",,"[]","0.000000","","0","0","","","81","Walling","WAL","6028","1","0","0.000000","SCORO_2296","2296","Walling","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.311Z"
"1.000000","Lounge Sofas","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6098","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.396Z"
"6.000000","Lounge Coffee Tables - Extra Sets","900.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6104","1","0","165.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","990.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.400Z"
"18.000000","Cushions","797.0400",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6106","1","0","56.875000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","1023.75","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.406Z"
"2.000000","Lounge Chairs","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6099","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.397Z"
"1.000000","Tall seating - included","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6095","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.395Z"
"1.000000","standard florals - included","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6096","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.395Z"
"1.000000","Lounge Coffee Tables","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6100","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.397Z"
"1.000000","Planting Specimans","1265.0900",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6090","1","0","1625.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","1625.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.313Z"
"1.000000","Tall Tables - included","0.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6094","1","0","0.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.395Z"
"12.000000","Lounge Chairs","1800.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6102","1","0","165.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","1980.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.399Z"
"6.000000","Lounge Sofas - Extra sets x 6","3000.0000",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6103","1","0","550.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","3300.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.399Z"
"1.000000","Furniture delivery allowance","1265.0900",,"[]","0.000000","","0","0","","","73","Hire Furniture","HIR FUR","6105","1","0","1625.000000","SCORO_2298","2298","Hire Furniture","269","UCL Hospitality Village 2025","643","0","","1625.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.400Z"
"1.000000","Welcome desk and back wall - included","0.0000",,"[]","0.000000","","0","0","","","74","Bespoke Build Furniture","BE FUR","6026","1","0","0.000000","SCORO_2299","2299","Bespoke Build Furniture","269","UCL Hospitality Village 2025","643","0","","0.00","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.311Z"
"1.000000","Welcome desk and back wall - NOT included","1037.9200",,"[]","0.000000","","0","0","","","74","Bespoke Build Furniture","BE FUR","6027","1","0","1128.650000","SCORO_2299","2299","Bespoke Build Furniture","269","UCL Hospitality Village 2025","643","0","","1128.65","0","","pcs","0.000","EXEMPTOUTPUT","31","2025-04-17T12:07:52.311Z"
